team_id,era,avg,cur_wins,obp,slg,ops,stolenBases,leftOnBase,runs,whip,runs_against,blownSaves,strikeoutWalkRatio,wins
2014136,3.16,.242,49,.300,.377,.677,48,560,365,1.15,299,9,2.80,87
2015136,3.78,.231,39,.292,.378,.670,33,536,290,1.25,336,11,2.68,76
2016136,3.94,.262,43,.328,.446,.774,25,572,421,1.30,372,16,2.83,86
2017136,4.62,.264,42,.333,.418,.751,52,593,424,1.33,431,13,2.30,78
2018136,3.91,.260,56,.321,.420,.741,50,609,387,1.21,372,15,3.40,89
2019136,5.15,.243,39,.321,.448,.769,62,643,479,1.43,550,18,2.37,68
2021136,4.51,.218,45,.293,.380,.673,39,519,357,1.30,411,17,2.51,90
2022136,3.62,.235,42,.318,.386,.704,47,613,341,1.21,324,7,2.92,90
2023136,3.78,.234,44,.313,.394,.707,57,588,399,1.19,364,13,3.42,88
2024136,3.55,.217,49,.297,.363,.660,68,599,350,1.08,346,10,3.55,85
2013137,4.10,.262,40,.316,.386,.702,38,606,343,1.31,384,9,2.57,76
2014137,3.39,.244,50,.304,.387,.691,34,579,355,1.17,330,13,2.98,88
2015137,3.86,.266,43,.324,.400,.724,39,603,349,1.27,338,5,2.45,84
2016137,3.63,.262,54,.335,.404,.739,45,624,410,1.22,347,16,3.03,87
2017137,4.65,.242,34,.303,.373,.676,45,596,342,1.41,438,10,2.56,64
2018137,4.06,.251,46,.315,.397,.712,36,652,367,1.33,399,17,2.38,73
2019137,4.53,.230,41,.297,.385,.682,25,547,369,1.33,439,4,2.68,77
2021137,3.28,.242,54,.327,.432,.759,36,587,423,1.11,317,16,3.33,107
2022137,3.94,.234,41,.319,.391,.710,37,548,378,1.27,358,11,3.13,81
2023137,3.95,.247,47,.323,.405,.728,41,628,410,1.26,382,9,3.25,79
2024137,4.44,.244,44,.315,.388,.703,30,636,402,1.36,429,13,2.72,80
2013138,3.32,.274,53,.335,.414,.749,22,571,431,1.18,309,11,3.23,97
2014138,3.29,.249,48,.316,.367,.683,33,648,330,1.21,312,11,2.62,90
2015138,2.62,.259,54,.323,.391,.714,36,593,333,1.20,241,6,2.96,100
2016138,3.93,.261,44,.334,.443,.777,20,605,439,1.27,360,10,2.69,86
2017138,4.05,.253,41,.328,.420,.748,42,578,392,1.31,388,11,2.68,83
2018138,3.66,.244,46,.314,.400,.714,31,587,382,1.27,362,13,2.43,88
2019138,4.14,.244,44,.319,.401,.720,59,603,393,1.29,391,9,2.57,91
2021138,4.22,.228,43,.301,.377,.678,44,578,347,1.37,388,7,1.76,90
2022138,3.83,.251,45,.319,.404,.723,58,596,390,1.28,336,11,2.30,93
2023138,4.67,.255,36,.329,.428,.757,56,628,408,1.48,445,20,2.27,71
2024138,3.95,.243,47,.310,.380,.690,54,646,363,1.27,402,13,2.81,83
2013139,3.97,.260,49,.330,.419,.749,43,613,420,1.24,373,11,2.65,92
2014139,3.85,.250,41,.321,.383,.704,32,688,351,1.26,384,9,2.82,77
2015139,3.51,.240,43,.304,.379,.683,61,555,312,1.22,320,8,2.74,80
2016139,4.57,.241,34,.308,.422,.730,28,573,338,1.36,404,10,2.73,68
2017139,4.23,.257,45,.330,.446,.776,48,617,422,1.33,409,16,2.46,80
2018139,3.56,.249,44,.321,.381,.702,54,622,338,1.18,335,10,2.65,90
2019139,3.32,.254,52,.326,.423,.749,57,656,415,1.15,335,14,3.29,96
2021139,3.55,.231,51,.316,.397,.713,56,609,427,1.14,349,11,3.46,100
2022139,3.29,.238,45,.303,.380,.683,56,530,340,1.14,315,19,3.36,86
2023139,3.69,.260,57,.332,.454,.786,110,569,495,1.20,347,17,2.83,99
2024139,4.36,.235,44,.310,.369,.679,89,616,359,1.27,426,18,3.06,80
2013140,3.71,.260,51,.321,.420,.741,56,596,384,1.28,357,4,2.73,91
2014140,4.74,.261,38,.320,.389,.709,60,584,369,1.49,450,10,2.19,67
2015140,4.20,.247,41,.312,.399,.711,53,574,356,1.37,377,11,2.03,88
2016140,4.29,.266,53,.323,.429,.752,52,547,426,1.39,399,9,1.95,95
2017140,4.35,.241,42,.316,.431,.747,75,512,439,1.38,410,17,2.09,78
2018140,4.65,.238,39,.320,.399,.719,50,619,405,1.38,459,9,2.54,67
2019140,4.82,.254,48,.328,.445,.773,72,593,485,1.43,461,9,2.43,78
2021140,4.48,.235,34,.303,.389,.692,52,547,361,1.34,414,13,2.65,60
2022140,3.93,.238,37,.297,.396,.693,66,500,352,1.29,342,14,2.36,68
2023140,3.93,.275,52,.342,.462,.804,48,639,526,1.20,368,16,2.82,90
2024140,4.00,.243,42,.311,.383,.694,47,605,389,1.26,381,12,2.39,78
2013141,4.18,.251,43,.315,.419,.734,60,560,405,1.34,411,9,2.21,74
2014141,4.00,.256,47,.324,.426,.750,38,632,409,1.36,386,11,2.14,83
2015141,4.16,.265,44,.332,.446,.778,46,522,464,1.30,379,12,2.46,93
2016141,3.84,.251,49,.332,.440,.772,31,606,433,1.24,368,12,2.76,89
